"species","max_lat","min_lat","med_lat","bio1_range","bio1_sd","bio1_mean"
"Acrolophus arcanella",42.4324038,30.1986441,38.6285565,23.21666765,4.25480335,13.50312012
"Acrolophus heppneri",30.5234202,27.3169588,30.09823,8.0625,1.414275681,20.51781439
"Acrolophus plumifrontella",40.32568,29.7196536,35.3521,17.54166698,3.444998309,15.36173797
"Actias luna",45.1741841,31.2588788,38.569233,25.39583266,4.999064033,12.06219453
"Agrotis ipsilon",57.409643,34.5006741,47.358822,38.66250038,4.116071197,9.808561559
"Allotria elonympha",41.0995046,32.5741251,37.19916,22.32083291,2.964843,13.45110604
"Amolita obliqua",34.934,27.18,30.48495,9.449999809,2.528256233,19.04197653
"Amorpha juglandis",43.3217748,29.8304885,35.446149,22.98750073,4.891317825,14.45496596
"Apantesis nais",44.5483096,33.3617346,40.254208,22.42499888,4.096765372,11.49626311
"Apantesis phalerata",43.3814989,27.6490201,38.7101275,23.69583368,5.285031261,13.72685017
"Apantesis vittata",40.4978452,29.6049742,34.458197,20.512501,3.8788637,16.28951949
"Apoda rectilinea",32.2451833,27.2093,29.6683695,8.970833778,2.015680312,20.46139944
"Automeris io",44.442519,26.118997,35.54977,28.29166698,5.981888163,14.83282479
"Haploolophus mollissima",45.870723,35.5553048,43.1322275,20.73749912,3.712955767,8.409383631
"Catocala micronympha",41.9921,29.614302,32.878355,18.5333333,4.672342355,15.69521038
"Catocala similis",43.7540623,29.7190999,39.8940895,18.96249962,5.043019075,13.03466446
"Cerura scitiscripta",45.6490328,33.9309507,40.740035,18.36250079,4.591491221,11.10374995
"Platysenta mobilis",35.2502476,8.7640856,27.187378,19.85833359,4.108930398,20.63397531
"Condica sutor",39.2286872,10.2620338,29.873739,24.97083306,4.883894887,19.18302464
"Condica vecors",44.3617547,32.3310355,39.3107635,21.72916675,4.318706441,12.0987585
"Cosmosoma myrodora",30.8986372,27.6527478,29.937456,9.708332062,1.36847627,20.45930052
"Costaconvexa centrostrigaria",43.9248049,31.2699913,38.9262235,22.80833232,4.462412037,12.84009964
"Dasychira tephra",40.6511979,30.0982277,33.8256,20.84583282,3.790758104,15.93431361
"Datana contracta",42.89994601,32.7808787,39.297257,15.67083263,3.470086061,12.37035712
"Datana major",39.7354361,30.4323514,34.7948075,14.70416689,3.185780273,15.71114472
"Desmia funeralis",44.1228293,32.4162646,38.8923335,26.95833284,4.216147463,12.37456159
"Disclisioprocta stellata",37.3916256,20.084887,32.978402,23.77500057,3.213868007,17.3303137
"Dryocampa rubicunda",45.4941208,34.5030576,41.22078,23.29999989,4.263860156,10.01252128
"Eacles imperialis",44.2702946,25.548717,36.225141,29.18333423,5.095167539,14.2502031
"Ellida caniplaga",45.20012,35.7000004,42.631543,17.85416651,3.225079179,8.6135
"Epimecis hortaria",40.9274175,32.6849574,37.217436,18.07500029,2.896443702,13.51661567
"Euchlaena amoenaria",39.6418865,32.5737888,35.829208,12.17083263,2.513293835,14.32079521
"Euchlaena deplanaria",35.817422,30.023959,32.791813,15.40833282,2.906809488,17.18373659
"Euchlaena obtusaria",50.66,31.9857516,39.103056,21.73333377,5.770592555,11.2360742
"Euclea delphinii",44.8482202,30.9418454,41.139611,21.99583387,4.869519521,10.9633473
"Eulithis diversilineata",44.477415,32.6609415,40.3925,22.28333396,4.16235226,11.31960456
"Eusarca confusaria",44.7056384,33.3064419,40.275188,21.77916622,3.988034252,10.90221848
"Eutrapela clemataria",45.840839,32.5741306,40.582792,22.40000073,5.050969176,10.85905062
"Glenoides texanaria",41.47015,29.668544,34.770833,17.0999999,4.286054891,15.15438466
"Halysidota tessellaris",45.2001055,34.0243225,40.1844805,26.47083443,4.039290586,10.67219876
"Herpetogramma bipunctalis",38.9871072,26.5767288,30.5726305,24.14583349,3.991621473,18.14220717
"Herpetogramma fluctuosalis",39.0566012,29.3125696,33.338136,15.97916698,3.14555666,17.1248925
"Heterocampa obliqua",42.7090895,30.8726409,37.128678,17.89999962,4.089674593,13.42959517
"Heterocampa subrotata",41.9702008,31.3081518,36.74,18.29583454,4.01686445,14.04433517
"Neoerastria apicosa",44.7731461,29.9847184,38.523704,19.83333206,5.245450737,13.12871821
"Hypagyrtis esther",43.2076894,32.4862778,36.286616,20.64583404,4.172076083,13.22311376
"Hypagyrtis unipunctata",44.3402125,32.8848235,39.2777545,19.93749988,3.929424878,11.87038041
"Hypena palparia",46.836354,32.788461,41.420969,20.89999969,5.292442773,10.45625572
"Hypenula cacuminalis",31.5413706,25.9919044,29.669008,18.53750038,3.078124185,20.0171035
"Hypomecis umbrosaria",40.2601066,30.8172804,34.105221,12.78333378,3.031172385,15.34152942
"Hypoprepia fucosa",45.549857,31.5821045,42.1834575,22.41666681,5.032696252,10.29952678
"Hypsoropha hormos",38.9579876,30.3815482,34.934372,14.37916756,2.642405972,15.76597914
"Hypsoropha monilis",36.0957878,30.2946592,33.147682,10.53750038,2.092528474,17.03212186
"Idia aemula",45.3626262,32.8569922,41.144574,27.9958334,4.561419095,10.77581604
"Idia americalis",46.770346,32.795998,41.426884,25.50833344,4.802906502,10.44586943
"Idia lubricalis",45.3053658,33.0608002,42.160645,23.56666666,4.377398242,9.998956772
"Idia rotundalis",46.2082514,33.1731388,42.3401965,22.16250002,4.866430816,10.06374996
"Iridopsis defectaria",39.11221,27.6692552,32.71966,22.14166784,3.682184624,17.3048513
"Iridopsis vellivolata",45.3740762,31.474398,39.627119,22.70416629,5.166302725,11.91690976
"Lacosoma chiridota",42.5722196,30.5843776,36.914788,16.09583282,4.059801511,13.78926689
"Lapara coniferarum",40.085478,29.7223764,35.07731,17.41250086,3.7963853,15.51158019
"Leucania adjuta",39.2058111,27.5720209,32.9588005,18.97916555,4.263390243,17.05715636
"Leucania incognita",32.573969,26.159803,28.060884,21.78333282,2.685725059,20.72199655
"Leucanopsis longa",35.438876,27.183236,32.2678695,10.5666666,3.022293744,18.81318658
"Lochmaeus bilineata",44.3259537,30.0954042,35.096803,20.89166665,4.995421294,14.25351541
"Lochmaeus manteo",44.2544777,30.5445191,37.4288285,21.85416663,4.581155071,12.9211291
"Macaria bisignata",44.566234,35.5808286,41.591771,19.32083273,3.241241698,10.02236429
"Malacosoma americana",45.0889508,32.7110134,39.148472,32.65416622,4.481250483,11.69416927
"Malacosoma disstria",47.386338,29.732585,38.500033,25.87916589,6.533407385,12.39896787
"Megalopyge opercularis",34.0229563,26.0823257,30.1986145,16.11250019,2.624157987,19.72609578
"Melanolophia canadaria",43.651227,33.2614724,39.13409,19.20416629,3.725995547,11.97632924
"Metarranthis homuraria",40.2601011,31.3981658,34.906812,12.68333244,3.194392413,14.78676699
"Remigia disseverans",30.8423108,26.1824486,28.865264,9.883332253,1.73196052,21.36356841
"Remigia latipes",32.5681044,9.7779386,27.587418,30.8708334,3.647395277,21.16745737
"Remigia marcida",33.1298635,27.6553385,30.233876,15.4958334,1.961340178,19.67537657
"Nadata gibbosa",47.3813837,33.14768,40.305102,29.20833349,4.588845035,10.91624265
"Natada nasoni",39.506244,30.5424556,35.544519,14.7541666,2.977408076,14.89341905
"Nematocampa resistaria",47.2980906,30.310839,43.334148,28.19583344,5.426367523,9.525707623
"Norape cretata",39.1075604,32.1640271,37.027254,14.07499886,2.6480934,14.50663892
"Norape ovina",35.9530222,7.8926824,28.118799,20.02499962,4.395168182,19.92227411
"Orgyia detrita",30.5718603,27.9470725,29.6144075,16.23333359,1.314016661,20.73111499
"Orgyia leucostigma",45.4367598,33.6221959,40.9442715,28.35416591,4.483874634,10.75461753
"Palthis asopialis",42.3890932,30.4180824,38.714896,21.52500057,4.067603967,13.37633473
"Pangrapta decoralis",45.095011,32.4880002,38.753115,24.0291671,4.631186623,12.10559895
"Panopoda carneicosta",41.8849027,30.2332154,35.5445035,22.32916582,4.074018492,14.49242149
"Panopoda repanda",32.7543083,27.20382833,29.862735,16.81666565,2.342541826,20.32531052
"Panopoda rufimargo",44.3236964,32.54616,39.268534,20.81666708,4.361752393,12.00778109
"Paonias excaecata",46.9552277,35.9142938,43.426094,23.85416645,3.786640056,8.293819518
"Patalene olyzonaria",42.6709878,32.9541144,39.010672,23.75000024,3.467242024,12.55632441
"Peridea angulosa",44.705813,30.4179592,40.253394,22.12083399,5.063088589,11.82932122
"Phoberia atomaris",42.44926,29.9911366,33.513653,26.88749909,4.419284272,15.367416
"Phyprosopus callitrichoides",38.6653877,29.5372278,32.4776355,16.9958334,2.948610213,17.66149227
"Pilocrocis ramentalis",39.3725164,10.6137179,30.1037805,26.53749949,4.837505207,18.92019418
"Plusiodonta compressipalpis",38.2035678,26.2054249,32.4876845,22.98749948,3.725957515,17.86200304
"Polygrammate hebraeicum",41.3116922,30.9429768,36.883826,16.23333359,3.420798989,13.88350362
"Prionoxystus robiniae",42.8246145,27.6490285,35.102148,25.529167,5.191057028,15.39747389
"Prochoerodes lineola",45.3881756,32.631664,41.232763,26.7958343,4.566018155,10.52232186
"Renia flavipunctalis",45.6415686,36.2482902,43.818909,22.7333328,3.709144686,7.992343806
"Renia fraternalis",38.011972,27.364668,32.521111,12.97916603,3.414000577,17.73815299
"Samea ecclesialis",32.8039059,8.770501,29.0938475,20.24166584,2.641566028,20.79561536
"Schizura ipomoeae",49.2003,32.54007,41.5912,21.32916749,4.954737876,11.12364805
"Scolecocampa liburna",41.5763972,30.6084547,37.0166785,23.74583268,3.656373941,13.82369113
"Spilosoma congrua",45.0829702,32.4797229,37.899643,23.46666646,4.688256756,12.2923456
"Spodoptera eridania",32.9647348,-15.7993186,27.661652,20.09583282,3.168243544,20.79476874
"Symmerista albifrons",45.1874876,30.4838962,39.243997,22.61250019,5.294082463,11.92547961
"Tetanolita floridana",41.1593836,29.0364506,34.9012865,18.32916594,4.225859175,15.4442645
"Tetanolita mynesalis",39.1958692,29.8963614,35.74884,24.04166627,3.451938936,15.51285678
"Holomelina aurantiaca",42.6408981,26.7252746,32.710143,28.84166741,5.780568069,16.42173048
"Holomelina laeta",46.666284,30.0982705,42.9541505,24.37916583,6.657504947,10.80042603
"Holomelina rubicundaria",44.4524562,26.7009898,32.2592,20.12083387,5.817529152,16.66745691
"Xestia dilucida",46.2990482,33.9402362,42.300568,19.62916696,4.386845337,9.372377522
"Zale horrida",46.054149,34.858809,41.8445165,21.98749948,4.309657446,9.600980177
"Zale lunata",43.4411512,30.202872,37.2584405,27.94999915,4.526720959,14.19467161
"Anavitrinella pampinaria",44.9027008,32.4887221,40.610722,25.3874996602535,4.46758977271914,11.1406019377127
