Date,lunar.phase
1/11/2020,0.986875053
3/24/2019,0.875819292
3/29/2019,0.39415654
4/14/2019,0.729117038
3/10/2019,0.182614481
8/10/2019,0.717471054
1/25/2020,0.001115206
2/15/2020,0.588257266
2/9/2020,0.996596821
2/4/2020,0.792018256
1/18/2020,0.426162459
2/28/2020,0.237360197
9/28/2019,0.003591702
9/29/2019,0.002153047
11/16/2019,0.818207263
10/5/2019,0.400004444
10/1/2019,0.065686683
8/24/2019,0.358393188
9/12/2019,0.963841047
10/26/2019,0.048822789
10/12/2019,0.980143932
11/2/2019,0.248524239
9/7/2019,0.561996318
3/13/2019,0.47530703
11/23/2019,0.141482235
12/1/2019,0.201441194
12/8/2019,0.875467896
1/1/2020,0.339275996
12/12/2019,0.995796714
2/1/2020,0.492693489
9/13/2019,0.99280325
9/21/2019,0.519254308
12/22/2019,0.183026076
1/5/2020,0.750094308
2/8/2020,0.997696384
1/15/2020,0.735352191
8/31/2019,0.010543728
8/2/2019,0.02516579
8/17/2019,0.966423799
7/6/2019,0.172665154
7/3/2019,0.01191468
7/27/2019,0.212417968
7/13/2019,0.850084939
7/21/2019,0.808060176
6/29/2019,0.09667376
6/8/2019,0.310792131
8/27/2019,0.100554424
6/22/2019,0.761733477
3/31/2019,0.20186846
8/3/2019,0.068948059
4/21/2019,0.961576738
5/22/2019,0.88008008
4/7/2019,0.07568935
5/4/2019,9.02E-05
5/11/2019,0.468808896
3/16/2019,0.777723365
6/2/2019,0.002202688
10/20/2019,0.575416494
10/21/2019,0.469340314
6/15/2019,0.945897421
5/15/2019,0.854701958
4/28/2019,0.345958825
2/14/2020,0.690192688
11/12/2019,0.999776805
11/3/2019,0.345452372
9/24/2019,0.217766259
10/15/2019,0.968728991
9/11/2019,0.913959614
8/21/2019,0.671994965
8/29/2019,0.012030498
3/11/2019,0.271355918
1/26/2020,0.019412981
9/9/2019,0.761279667
3/1/2019,0.2456
4/19/2019,0.9988
5/19/2019,0.9991
2/22/2019,0.9054
